Date,open,high,low,Adjusted_Close,volume
2023-07-31 00:00:00+00:00,14488.0,14519.75,14479.0,14510.25,7
2023-08-01 00:00:00+00:00,14415.0,14470.25,14415.0,14470.25,2
2023-08-02 00:00:00+00:00,14349.25,14406.75,14091.5,14125.25,50
2023-08-03 00:00:00+00:00,14129.25,14157.0,13995.25,14091.25,22
2023-08-04 00:00:00+00:00,14100.25,14244.25,13997.0,14006.25,20
2023-08-07 00:00:00+00:00,14044.25,14127.25,14035.0,14127.25,24
2023-08-08 00:00:00+00:00,14082.0,14082.0,13906.5,13992.5,17
2023-08-09 00:00:00+00:00,14019.25,14040.5,13813.0,13813.0,33
2023-08-10 00:00:00+00:00,13847.75,14044.5,13795.25,13835.5,34
2023-08-11 00:00:00+00:00,13764.25,13766.25,13686.5,13729.0,14
2023-08-14 00:00:00+00:00,13729.25,13907.5,13682.75,13907.5,13
2023-08-15 00:00:00+00:00,13947.0,13947.0,13720.5,13742.0,143
2023-08-16 00:00:00+00:00,13754.25,13791.5,13563.5,13577.25,150
2023-08-17 00:00:00+00:00,13565.25,13649.25,13404.5,13411.75,24
2023-08-18 00:00:00+00:00,13379.25,13410.25,13254.25,13371.25,42
2023-08-21 00:00:00+00:00,13459.25,13632.5,13424.25,13617.0,58
2023-08-22 00:00:00+00:00,13602.75,13738.25,13581.0,13589.75,56
2023-08-23 00:00:00+00:00,13673.25,13956.0,13595.25,13830.25,40
2023-08-24 00:00:00+00:00,13930.25,14017.25,13495.0,13495.0,30
2023-08-25 00:00:00+00:00,13551.75,13654.25,13400.25,13613.5,34
2023-08-28 00:00:00+00:00,13639.25,13753.0,13610.0,13727.75,55
2023-08-29 00:00:00+00:00,13749.25,14058.75,13689.25,14058.75,187
2023-08-30 00:00:00+00:00,14062.0,14154.5,14032.0,14145.5,30
2023-08-31 00:00:00+00:00,14159.25,14248.25,14141.25,14186.25,134
2023-09-01 00:00:00+00:00,14168.25,14294.25,14111.25,14163.5,39
2023-09-04 00:00:00+00:00,14175.5,14211.5,14163.5,14163.5,3
2023-09-05 00:00:00+00:00,14159.0,14214.25,14098.25,14184.0,34
2023-09-06 00:00:00+00:00,14166.5,14166.5,13990.75,14047.0,25
2023-09-07 00:00:00+00:00,14029.5,14029.5,13839.5,13927.75,40
2023-09-08 00:00:00+00:00,13921.5,14034.25,13904.25,13943.25,59
2023-09-11 00:00:00+00:00,13959.0,14134.25,13959.0,14123.5,71
2023-09-12 00:00:00+00:00,14103.75,14116.75,13952.25,13957.5,58
2023-09-13 00:00:00+00:00,13948.25,14058.5,13883.25,14005.5,227
2023-09-14 00:00:00+00:00,14044.25,14156.25,14004.25,14125.5,249
2023-09-15 00:00:00+00:00,14129.0,14161.5,13807.5,13840.0,600
2023-09-18 00:00:00+00:00,13834.25,13905.25,13779.0,13860.0,459
2023-09-19 00:00:00+00:00,13877.25,13885.0,13695.25,13821.0,630
2023-09-20 00:00:00+00:00,13822.5,13880.0,13572.0,13596.25,614
2023-09-21 00:00:00+00:00,13579.25,13594.0,13281.0,13302.0,657
2023-09-22 00:00:00+00:00,13297.25,13464.25,13276.5,13305.0,687
2023-09-25 00:00:00+00:00,13324.25,13391.25,13222.25,13372.0,406
2023-09-26 00:00:00+00:00,13381.5,13381.5,13101.75,13150.0,706
2023-09-27 00:00:00+00:00,13165.0,13244.75,13021.75,13173.75,1023
2023-09-28 00:00:00+00:00,13184.25,13381.75,13096.75,13295.5,673
2023-09-29 00:00:00+00:00,13322.75,13488.25,13252.25,13301.25,961
2023-10-02 00:00:00+00:00,13409.0,13485.75,13267.0,13422.0,726
2023-10-03 00:00:00+00:00,13424.75,13466.25,13090.5,13149.5,683
2023-10-04 00:00:00+00:00,13144.25,13383.75,13029.75,13360.5,936
2023-10-05 00:00:00+00:00,13335.0,13391.5,13151.5,13297.5,813
2023-10-06 00:00:00+00:00,13289.25,13595.25,13102.25,13549.25,1067
2023-10-09 00:00:00+00:00,13478.75,13649.25,13386.75,13624.5,559
2023-10-10 00:00:00+00:00,13629.25,13818.0,13617.25,13710.25,567
2023-10-11 00:00:00+00:00,13722.75,13854.0,13701.25,13819.75,493
2023-10-12 00:00:00+00:00,13841.25,13908.0,13656.75,13756.25,606
2023-10-13 00:00:00+00:00,13774.75,13799.75,13501.75,13558.5,492
2023-10-16 00:00:00+00:00,13576.0,13771.0,13539.5,13729.75,440
2023-10-17 00:00:00+00:00,13737.25,13748.25,13493.0,13681.5,528
2023-10-18 00:00:00+00:00,13666.25,13666.25,13417.0,13463.25,588
2023-10-19 00:00:00+00:00,13483.25,13572.25,13275.75,13326.5,990
2023-10-20 00:00:00+00:00,13260.5,13316.0,13078.25,13095.5,700
2023-10-23 00:00:00+00:00,13123.5,13281.0,12951.75,13144.5,699
